candidate_id,domain_id,domain_name,candidate_task_name,platform,initial_applicability,as_is_status,review_status,review_confidence,execution_owner,execution_mechanism,structure_flag,operator_note,analyst_note,round2_question,evidence_ref
"01-01","01","市场与选品","新品发现","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-01","01","市场与选品","新品发现","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-01","01","市场与选品","新品发现","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-02","01","市场与选品","类目趋势分析","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-02","01","市场与选品","类目趋势分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-02","01","市场与选品","类目趋势分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-03","01","市场与选品","爆品 / 高增长商品发现","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-03","01","市场与选品","爆品 / 高增长商品发现","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-03","01","市场与选品","爆品 / 高增长商品发现","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-04","01","市场与选品","竞品发现","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-04","01","市场与选品","竞品发现","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-04","01","市场与选品","竞品发现","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-05","01","市场与选品","竞品筛选","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-05","01","市场与选品","竞品筛选","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-05","01","市场与选品","竞品筛选","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-06","01","市场与选品","竞品持续跟踪","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-06","01","市场与选品","竞品持续跟踪","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-06","01","市场与选品","竞品持续跟踪","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-07","01","市场与选品","价格带分析","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-07","01","市场与选品","价格带分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-07","01","市场与选品","价格带分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-08","01","市场与选品","市场竞争度 / 同款密度分析","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-08","01","市场与选品","市场竞争度 / 同款密度分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-08","01","市场与选品","市场竞争度 / 同款密度分析","TikTok Shop","PARTIAL","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-09","01","市场与选品","商品生命周期判断","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-09","01","市场与选品","商品生命周期判断","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-09","01","市场与选品","商品生命周期判断","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-10","01","市场与选品","产品机会判断 / 立项初筛","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-10","01","市场与选品","产品机会判断 / 立项初筛","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"01-10","01","市场与选品","产品机会判断 / 立项初筛","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-01","02","商品研究","Review / 评论区分析","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-01","02","商品研究","Review / 评论区分析","Temu","PARTIAL","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-01","02","商品研究","Review / 评论区分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-02","02","商品研究","Consumer Pain 痛点提取","Amazon","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","MERGE_CANDIDATE","Operator grouped this Candidate with product improvement-related work.","Strong Merge Candidate within the Product Improvement group; no merge was executed in Round 1.","Should 02-02 02-03 and 02-04 normalize into one task or a task with subtasks?","R1-AMAZON-01"
"02-02","02","商品研究","Consumer Pain 痛点提取","Temu","PARTIAL","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-02","02","商品研究","Consumer Pain 痛点提取","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
