candidate_id,candidate_name,source_domain,primary_classification,business_goal,trigger,input,decision_or_work,output_or_completion,observed_independence,independence_evidence,artifact_role,artifact_candidate,classification_confidence,classification_rationale,evidence_refs,open_question
"01-01","新品发现","01 市场与选品","BUSINESS_TASK","Identify new product candidates worth further evaluation.","A market-scanning cycle or product-opportunity search begins.","Available market and product signals.","Search for and identify products that are new within the current candidate frame.","A bounded new-product candidate set is produced.","PARTIAL","reusable candidate-set deliverable","PRODUCES_BUSINESS_ARTIFACT","New Product Candidate Set","MEDIUM","A recognizable reusable candidate-set deliverable supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-01","Is new-product discovery initiated and completed independently or only as a step inside product opportunity evaluation?"
"01-02","类目趋势分析","01 市场与选品","ANALYSIS_DIMENSION","Examine category trend as an input to broader business judgment.","A broader analysis or decision requires the category trend dimension.","Category observations across the review period.","Inspect and interpret category trend.","A category-trend finding for a broader opportunity decision.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","UNKNOWN","","MEDIUM","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-02","Which broader Business Task consumes this analytical dimension? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"01-03","爆品 / 高增长商品发现","01 市场与选品","BUSINESS_TASK","Identify products showing breakout or high-growth signals for further evaluation.","A growth-opportunity scan begins.","Available product growth signals.","Evaluate which products meet the breakout or high-growth candidate condition.","A bounded high-growth product candidate set is produced.","PARTIAL","recognizable shortlist deliverable","PRODUCES_BUSINESS_ARTIFACT","High-growth Product Candidate Set","MEDIUM","A recognizable recognizable shortlist deliverable supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-03","Is this independently initiated work or a specialized filter within new-product discovery and opportunity screening?"
"01-04","竞品发现","01 市场与选品","STEP","Supply competitor candidates for broader market or product research.","A broader competitor or opportunity analysis requires comparison targets.","Market and category search context.","Identify possible competitors.","A competitor candidate set is available for screening.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","PRODUCES_BUSINESS_ARTIFACT","Competitor Candidate Set","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-04","Which parent Business Task owns this step and consumes its output?"
"01-05","竞品筛选","01 市场与选品","STEP","Narrow competitor candidates to a relevant comparison set.","A broader analysis has an unscreened competitor candidate set.","Competitor candidates and selection criteria.","Evaluate and filter competitor candidates.","A competitor shortlist is available to the parent analysis.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","PRODUCES_BUSINESS_ARTIFACT","Competitor Shortlist","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-05","Which parent Business Task owns this step and consumes its output?"
"01-06","竞品持续跟踪","01 市场与选品","BUSINESS_TASK","Maintain awareness of material changes among tracked competitors.","A recurring tracking interval or new competitor signal occurs.","Existing competitor tracking record and new observable signals.","Compare current signals with the prior tracked state.","The competitor tracking record is updated for downstream reuse.","PARTIAL","recurring responsibility and independently reusable tracking record","PRODUCES_AND_CONSUMES","Competitor Tracking Record","MEDIUM","A recognizable recurring responsibility and independently reusable tracking record supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-06","What cadence or change threshold independently triggers this tracking work?"
"01-07","价格带分析","01 市场与选品","ANALYSIS_DIMENSION","Examine price-band structure as an input to broader business judgment.","A broader analysis or decision requires the price-band structure dimension.","Observed product prices in the candidate market.","Inspect and interpret price-band structure.","A price-band finding for a broader opportunity or pricing decision.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","UNKNOWN","","MEDIUM","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-07","Which broader Business Task consumes this analytical dimension? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"01-08","市场竞争度 / 同款密度分析","01 市场与选品","ANALYSIS_DIMENSION","Examine market competition and same-product density as an input to broader business judgment.","A broader analysis or decision requires the market competition and same-product density dimension.","Observed competitor and comparable-product presence.","Inspect and interpret market competition and same-product density.","A competition-density finding for broader opportunity judgment.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","UNKNOWN","","MEDIUM","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-08","Do competition intensity and same-product density remain one analytical dimension or require separate downstream treatment? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"01-09","商品生命周期判断","01 市场与选品","UNCERTAIN","Determine the lifecycle position of a product.","Potentially a review cycle or material product-state change; not evidenced.","Product history and current performance signals; exact inputs are not evidenced.","Assess and assign a lifecycle position.","Potential lifecycle judgment or status.","UNCERTAIN","Current evidence does not establish whether lifecycle judgment is a standalone decision or an analytical dimension within another task.","UNKNOWN","Product Lifecycle Assessment","LOW","The Candidate could represent more than one allowed classification; whether lifecycle judgment is a standalone decision or an analytical dimension within another task is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-09","What operator workflow or SOP evidence establishes whether lifecycle judgment is a standalone decision or an analytical dimension within another task?"
"01-10","产品机会判断 / 立项初筛","01 市场与选品","BUSINESS_TASK","Decide whether a product opportunity should proceed beyond initial screening.","A product candidate reaches an initial initiation screen.","Available market product competition and constraint findings.","Evaluate opportunity evidence and make an initial proceed or stop judgment.","A recognizable product-opportunity screening decision is produced.","PARTIAL","independent go or no-go business decision","PRODUCES_BUSINESS_ARTIFACT","Product Opportunity Screening Decision","MEDIUM","A recognizable independent go or no-go business decision supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=01-10","What evidence and decision authority define completion of the initiation screen?"
